iter	R2	RMSE
0	0.0585615049	15592.47286
1	0.1178617295	15093.40941
2	0.1717794073	14624.87062
3	0.2181756025	14209.33096
4	0.2632092112	13794.02835
5	0.2995542906	13449.50374
6	0.333970476	13114.92348
7	0.36853647	12770.06645
8	0.401091583	12436.5302
9	0.4288477279	12144.92885
10	0.4560243606	11852.46676
11	0.4804003699	11583.86365
12	0.5043954767	11313.2309
13	0.5254227102	11070.63409
14	0.5461515109	10826.16065
15	0.563747915	10614.2125
16	0.579745794	10417.77695
17	0.5958565472	10216.13902
18	0.6101567492	10033.76743
19	0.6239584271	9854.553481
20	0.6347440124	9712.201687
21	0.6464702909	9555.028317
22	0.6563008359	9421.244147
23	0.667188217	9270.824662
24	0.6767417274	9136.794233
25	0.6861285815	9003.158699
26	0.6936078571	8895.243326
27	0.7019814246	8772.849674
28	0.7094904746	8661.621642
29	0.7164312727	8557.525215
30	0.7230496237	8457.07146
31	0.7299871984	8350.475343
32	0.7354254597	8265.955171
33	0.7402436745	8190.342939
34	0.7452310758	8111.333298
35	0.7496308304	8040.988574
36	0.7535186037	7978.313422
37	0.7575910292	7912.129089
38	0.7614554511	7848.809148
39	0.7655739964	7780.758081
40	0.7689920886	7723.825391
41	0.7719824955	7673.669927
42	0.7755687565	7613.084994
43	0.7791087059	7552.805837
44	0.7824607073	7495.280262
45	0.7860229136	7433.659347
46	0.7888019186	7385.229653
47	0.7912382479	7342.508993
48	0.7938286519	7296.812317
49	0.7965604976	7248.308394
50	0.7985649917	7212.511123
51	0.8008888358	7170.787065
52	0.8022936884	7145.445112
53	0.8044017376	7107.248766
54	0.8066428779	7066.414479
55	0.8086993527	7028.736142
56	0.8107120511	6991.66326
57	0.8126923401	6954.994478
58	0.8148555423	6914.716492
59	0.8166362075	6881.384294
60	0.8186445052	6843.596252
61	0.8203232678	6811.847878
62	0.821925329	6781.411459
63	0.8236837439	6747.846556
64	0.8252660388	6717.500102
65	0.8269574573	6684.908458
66	0.8281961472	6660.939207
67	0.8294129718	6637.308779
68	0.8310904588	6604.593787
69	0.832392577	6579.087235
70	0.8337792199	6551.815793
71	0.8348434261	6530.808556
72	0.8362990992	6501.963918
73	0.8375632134	6476.810869
74	0.8389805081	6448.493203
75	0.8402273142	6423.4787
76	0.8418445096	6390.88727
77	0.8427926388	6371.702051
78	0.8436822658	6353.647933
79	0.8447202254	6332.518489
80	0.8456950188	6312.610503
81	0.8466178853	6293.704977
82	0.8476570217	6272.349381
83	0.8489795761	6245.063562
84	0.8494819837	6234.667017
85	0.8505144557	6213.247003
86	0.851519336	6192.328266
87	0.8523441326	6175.105405
88	0.8530667904	6159.975761
89	0.8538237015	6144.089038
90	0.8548066375	6123.396789
91	0.8553952676	6110.971716
92	0.8562140542	6093.646262
93	0.85699302	6077.117567
94	0.8576387955	6063.380844
95	0.8584809943	6045.418975
96	0.8589974867	6034.377111
97	0.8594842422	6023.952455
98	0.8600668829	6011.450492
99	0.8606235342	5999.481859
100	0.8610490677	5990.316279
101	0.8618893041	5972.177091
102	0.8626102678	5956.568754
103	0.8629879081	5948.376773
104	0.863497175	5937.311575
105	0.8641601419	5922.875859
106	0.8644525899	5916.496781
107	0.8650012949	5904.509449
108	0.8654259774	5895.214851
109	0.8660778421	5880.91957
110	0.866613339	5869.150163
111	0.8666946053	5867.361989
112	0.8670318475	5859.935527
113	0.8676112544	5847.154294
114	0.8686192213	5824.852552
115	0.8693667261	5808.25836
116	0.8697416394	5799.917613
117	0.8702265028	5789.112972
118	0.8709494782	5772.964713
119	0.871314341	5764.798025
120	0.8717796316	5754.366656
121	0.872536169	5737.365323
122	0.87292211	5728.672805
123	0.8733831552	5718.271402
124	0.8737802298	5709.298016
125	0.8744797695	5693.454896
126	0.8753666976	5673.304212
127	0.8758628206	5662.0012
128	0.8762717517	5652.667663
129	0.876853082	5639.372655
130	0.87727039	5629.809474
131	0.8773191271	5628.691537
132	0.8775104959	5624.29975
133	0.8780092128	5612.838385
134	0.8783676545	5604.586306
135	0.8788138638	5594.296624
136	0.8790295883	5589.315178
137	0.8792570265	5584.058431
138	0.8794314092	5580.024592
139	0.8799026973	5569.108092
140	0.8803553897	5558.602139
141	0.8806612561	5551.492427
142	0.8809408575	5544.985255
143	0.8811287812	5540.607408
144	0.8816368661	5528.753766
145	0.8817802145	5525.404842
146	0.882329362	5512.556765
147	0.8825280572	5507.900628
148	0.882713529	5503.550807
149	0.8829948565	5496.946338
150	0.8836135067	5482.394866
151	0.8839461647	5474.554319
152	0.884156661	5469.587243
153	0.8843712357	5464.519281
154	0.8846702126	5457.450009
155	0.8850984344	5447.308776
156	0.8853567549	5441.18204
157	0.8855923545	5435.588167
158	0.8862346536	5420.308647
159	0.8867763795	5407.388082
160	0.8871371962	5398.765177
161	0.8871885412	5397.537
162	0.8874739479	5390.704943
163	0.8878153101	5382.522036
164	0.8884919476	5366.265251
165	0.8886355746	5362.80815
166	0.8888392462	5357.901955
167	0.8891449755	5350.52887
168	0.8893467813	5345.656471
169	0.8895324183	5341.170528
170	0.8902758747	5323.166914
171	0.8905007615	5317.709027
172	0.8906781766	5313.399295
173	0.8907618028	5311.366652
174	0.8909251026	5307.395197
175	0.8910086634	5305.361846
176	0.891122741	5302.584645
177	0.8913248215	5297.661457
178	0.8914993476	5293.405878
179	0.8917670232	5286.87232
180	0.8921621907	5277.212092
181	0.8925361521	5268.053951
182	0.8928226597	5261.026728
183	0.8931941138	5251.902009
184	0.8935296304	5243.646444
185	0.8936300187	5241.173808
186	0.8938085532	5236.773491
187	0.8941215907	5229.049157
188	0.8944682171	5220.482667
189	0.8946750911	5215.3633
190	0.8947888912	5212.545025
191	0.8953267897	5199.203216
192	0.895562203	5193.353339
193	0.8957366828	5189.013369
194	0.8958226184	5186.874491
195	0.8961028644	5179.893226
196	0.8968335311	5161.647039
197	0.8970733939	5155.643114
198	0.8972915761	5150.175788
199	0.8974191828	5146.975462
200	0.8978116347	5137.120422
201	0.8980748289	5130.500629
202	0.8983157089	5124.434579
203	0.8987829442	5112.647738
204	0.8990174946	5106.720529
205	0.8991541524	5103.263942
206	0.899553949	5093.138122
207	0.899720463	5088.914808
208	0.9000585362	5080.329418
209	0.9002814006	5074.661817
210	0.9006339739	5065.682676
211	0.9008373818	5060.495151
212	0.9011658353	5052.107333
213	0.9014120543	5045.810418
214	0.9017613266	5036.864469
215	0.9020365922	5029.802849
216	0.9021362362	5027.244154
217	0.9023247215	5022.400592
218	0.9027258211	5012.077841
219	0.9028970337	5007.665012
220	0.9033414709	4996.191905
221	0.9034980067	4992.144669
222	0.9035260467	4991.419347
223	0.9036769659	4987.513653
224	0.90402024	4978.618519
225	0.9042855053	4971.7339
226	0.9046097807	4963.304774
227	0.9048052819	4958.216047
228	0.9051316115	4949.710314
229	0.9053314729	4944.493731
230	0.9054580787	4941.186343
231	0.9056527	4936.097831
232	0.905927152	4928.91316
233	0.9061201908	4923.853464
234	0.9064339949	4915.6173
235	0.906766526	4906.874539
236	0.9071343032	4897.186926
237	0.9072893329	4893.097544
238	0.9075514826	4886.174757
239	0.9077379986	4881.243313
240	0.9079159604	4876.533386
