iter	Passed	Remaining
0	249	1249329
1	326	815133
2	436	726761
3	545	681607
4	658	658174
5	776	646517
6	812	579820
7	949	592345
8	1062	589360
9	1188	592978
10	1313	595956
11	1428	593573
12	1541	591360
13	1658	590513
14	1749	581396
15	1835	571695
16	1873	549234
17	1954	541065
18	2042	535350
19	2132	530955
20	2224	527362
21	2317	524339
22	2349	508321
23	2440	505909
24	2540	505493
25	2625	502364
26	2719	500871
27	2805	498213
28	2892	495733
29	2985	494600
30	3077	493322
31	3170	492153
32	3255	490005
33	3294	481144
34	3389	480815
35	3495	482043
36	3594	482194
37	3698	482911
38	3793	482596
39	3882	481473
40	3978	481154
41	4075	481078
42	4183	482239
43	4275	481599
44	4377	482013
45	4481	482624
46	4590	483724
47	4688	483665
48	4795	484536
49	4896	484711
50	4995	484790
51	5105	485833
52	5148	480597
53	5246	480567
54	5354	481435
55	5457	481817
56	5555	481746
57	5662	482520
58	5757	482189
59	5867	483053
60	5970	483435
61	6068	483361
62	6161	482859
63	6263	483110
64	6355	482535
65	6460	482977
66	6571	483851
67	6691	485298
68	6802	486130
69	6919	487328
70	7028	487966
71	7128	487905
72	7226	487736
73	7329	487883
74	7430	487963
75	7538	488386
76	7639	488442
77	7731	487861
78	7826	487538
79	7930	487744
80	8045	488605
81	8152	488955
82	8246	488550
83	8353	488906
84	8461	489299
85	8569	489642
86	8728	492894
87	8930	498490
88	9058	499864
89	9172	500403
90	9272	500197
91	9388	500872
92	9488	500668
93	9616	501918
94	9741	502957
95	9900	505775
96	10033	507148
97	10143	507378
98	10246	507232
99	10358	507576
100	10464	507595
101	10568	507488
102	10677	507665
103	10797	508308
104	10909	508593
105	11015	508606
106	11132	509099
107	11257	509910
108	11370	510210
109	11464	509638
110	11574	509805
111	11599	506237
112	11716	506728
113	11821	506670
114	11937	507085
115	12054	507518
116	12155	507330
117	12266	507517
118	12367	507267
119	12487	507808
120	12602	508175
121	12715	508392
122	12829	508713
123	12939	508822
124	13051	509014
125	13170	509453
126	13266	509053
127	13375	509115
128	13479	508969
129	13579	508705
130	13695	509035
131	13721	506046
132	13836	506315
133	13937	506128
134	14048	506251
135	14150	506102
136	14256	506036
137	14367	506188
138	14487	506646
139	14598	506763
140	14700	506586
141	14814	506809
142	14930	507113
143	15047	507433
144	15167	507843
145	15268	507615
146	15381	507812
147	15499	508141
148	15610	508228
149	15727	508531
150	15838	508623
151	15947	508650
152	16062	508854
153	16163	508632
154	16267	508492
155	16370	508317
156	16477	508281
157	16587	508332
158	16698	508418
159	16810	508519
160	16922	508629
161	16987	507331
162	17101	507487
163	17209	507459
164	17318	507491
165	17422	507359
166	17550	507907
167	17669	508207
168	17779	508244
169	17882	508073
170	17990	508037
171	18098	508012
172	18200	507836
173	18308	507805
174	18419	507845
175	18527	507833
176	18638	507880
177	18743	507772
178	18850	507689
179	18956	507606
180	19070	507727
181	19177	507666
182	19291	507806
183	19409	508015
184	19522	508106
185	19604	507393
186	19710	507312
187	19824	507428
188	19938	507535
189	20049	507563
190	20164	507710
191	20280	507858
192	20399	508091
193	20508	508064
194	20619	508093
195	20721	507892
196	20829	507828
197	20938	507804
198	21037	507554
199	21151	507638
200	21261	507630
201	21372	507649
202	21488	507781
203	21601	507858
204	21710	507817
205	21821	507821
206	21931	507826
207	22038	507740
208	22148	507717
209	22256	507664
210	22361	507523
211	22464	507359
