ID;id_season;family;category;fabric;color_rgb;length_type;silhouette_type;waist_type;neck_lapel_type;sleeve_length_type;heel_shape_type;toecap_type;woven_structure;knit_structure;print_type;archetype;moment;phase_in;phase_out;life_cycle_length;num_stores;num_sizes;has_plus_sizes;price;Production;weekly_demand
1;verano;Dresses;Dresses, jumpsuits and Complete set;WOVEN;255,215,0;Long;Evase;;V-Neck;Fine Strap;;;Light;;Sin Estampado;;TIME OFF;2/1/2023;26/3/2023;12;152;5;FALSE;35.99;4556;806
2;verano;Shirt;Tops;WOVEN;178,211,178;Crop;Straight;;Shirt-style collar;Short;;;Light;;Sin Estampado;Casual Chic;CASUAL WORK;18/12/2023;10/3/2024;12;121;5;FALSE;39.99;12267;2266
3;invierno;Jeans;Bottoms;JEANS;219,207,189;Ankle brace;Culotte;High Waist;;;;;;;Sin Estampado;Authentic;TIME OFF;15/7/2024;17/11/2024;18;1134;12;TRUE;29.99;137780;63791
4;invierno;Shirt;Tops;WOVEN;0,130,195;Standard;Regular;;;Sleeveless;;;Light;;Rayas;;FORMAL WORK;26/8/2024;20/10/2024;8;1090;7;TRUE;29.99;33001;11004
6;verano;Cardigans;Tops;TRICOT;216,112,96;Standard;Straight;;V-Neck;Long;;;;Thick point;Sin Estampado;;TIME OFF;27/3/2023;21/5/2023;8;606;7;FALSE;25.99;24098;14684
7;verano;Coats;Outerwear;WOVEN;0,0,0;Long;Oversize;;Regular;Long;;;;;Sin Estampado;Casual Chic;CASUAL WORK;24/10/2022;15/1/2023;12;767;7;FALSE;89.99;44294;27799
8;invierno;Shorts;Bottoms;WOVEN;0,0,0;Short;Paperbag;;;;;;;;Sin Estampado;Lady;CASUAL WORK;7/8/2023;17/9/2023;6;265;6;FALSE;29.99;19925;4727
10;invierno;Dresses;Dresses, jumpsuits and Complete set;WOVEN;145,145,144;Midi;Slim;;Close-fitting;Wide Strap;;;Light;;Sin Estampado;;CASUAL EVENT;2/9/2024;13/10/2024;6;322;5;FALSE;59.99;14500;4378
11;verano;Blazers;Outerwear;WOVEN;0,0,0;Standard;Oversize;;Peak Lapel;Long;;;;;Sin Estampado;Ideal;FORMAL WORK;27/5/2024;21/7/2024;8;105;5;FALSE;79.99;5241;722
12;invierno;Sweater;Tops;TRICOT;81,77,50;Standard;Straight;;Turtle neck;Long;;;;Midpoint;Sin Estampado;;TIME OFF;14/10/2024;8/12/2024;8;868;5;FALSE;39.99;17379;9978
