ID;id_season;family;category;fabric;color_rgb;length_type;silhouette_type;waist_type;neck_lapel_type;sleeve_length_type;heel_shape_type;toecap_type;woven_structure;knit_structure;print_type;archetype;moment;phase_in;phase_out;life_cycle_length;num_stores;num_sizes;has_plus_sizes;price;Production;weekly_demand
1;86;Dresses;Dresses, jumpsuits and Complete set;WOVEN;255,215,0;Long;Evase;;V-Neck;Fine Strap;;;Light;;Sin Estampado;;TIME OFF;2/1/2023;26/3/2023;12;152;5;FALSE;35.99;4556;806
2;88;Shirt;Tops;WOVEN;178,211,178;Crop;Straight;;Shirt-style collar;Short;;;Light;;Sin Estampado;Casual Chic;CASUAL WORK;18/12/2023;10/3/2024;12;121;5;FALSE;39.99;12267;2266
3;89;Jeans;Bottoms;JEANS;219,207,189;Ankle brace;Culotte;High Waist;;;;;;;Sin Estampado;Authentic;TIME OFF;15/7/2024;17/11/2024;18;1134;12;TRUE;29.99;137780;63791
4;89;Shirt;Tops;WOVEN;0,130,195;Standard;Regular;;;Sleeveless;;;Light;;Rayas;;FORMAL WORK;26/8/2024;20/10/2024;8;1090;7;TRUE;29.99;33001;11004
6;86;Cardigans;Tops;TRICOT;216,112,96;Standard;Straight;;V-Neck;Long;;;;Thick point;Sin Estampado;;TIME OFF;27/3/2023;21/5/2023;8;606;7;FALSE;25.99;24098;14684
7;86;Coats;Outerwear;WOVEN;0,0,0;Long;Oversize;;Regular;Long;;;;;Sin Estampado;Casual Chic;CASUAL WORK;24/10/2022;15/1/2023;12;767;7;FALSE;89.99;44294;27799
8;87;Shorts;Bottoms;WOVEN;0,0,0;Short;Paperbag;;;;;;;;Sin Estampado;Lady;CASUAL WORK;7/8/2023;17/9/2023;6;265;6;FALSE;29.99;19925;4727
10;89;Dresses;Dresses, jumpsuits and Complete set;WOVEN;145,145,144;Midi;Slim;;Close-fitting;Wide Strap;;;Light;;Sin Estampado;;CASUAL EVENT;2/9/2024;13/10/2024;6;322;5;FALSE;59.99;14500;4378
11;88;Blazers;Outerwear;WOVEN;0,0,0;Standard;Oversize;;Peak Lapel;Long;;;;;Sin Estampado;Ideal;FORMAL WORK;27/5/2024;21/7/2024;8;105;5;FALSE;79.99;5241;722
12;89;Sweater;Tops;TRICOT;81,77,50;Standard;Straight;;Turtle neck;Long;;;;Midpoint;Sin Estampado;;TIME OFF;14/10/2024;8/12/2024;8;868;5;FALSE;39.99;17379;9978
17;87;Trousers;Bottoms;WOVEN;225,204,175;Long;;;;;;;;;Sin Estampado;Casual Chic;CASUAL WORK;4/9/2023;12/11/2023;10;800;11;FALSE;29.99;37431;8896
18;89;Coats;Outerwear;WOVEN;49,47,72;Long;Straight;;Peak Lapel;Long;;;Medium;;Sin Estampado;Lady;FORMAL WORK;16/9/2024;22/12/2024;14;934;11;TRUE;79.99;39841;15671
19;88;Dresses;Dresses, jumpsuits and Complete set;WOVEN;29,80,144;Long;Evase;;Shirt-style collar;Long;;;Light;;Otros Estampados;;CASUAL WORK;11/3/2024;5/5/2024;8;1135;11;TRUE;39.99;35895;9209
20;89;T-shirt;Tops;CIRCULAR;245,244,238;Standard;Regular;;;;;;;;Sin Estampado;Lady;CASUAL WORK;12/8/2024;3/11/2024;12;384;5;FALSE;15.99;25394;3890
22;86;Shirt;Tops;WOVEN;245,244,238;Standard;Straight;;;Sleeveless;;;Light;;Sin Estampado;Wow;FORMAL WORK;3/4/2023;14/5/2023;6;282;5;FALSE;29.99;13798;6657
24;88;Jackets;Outerwear;SYNTHETIC LEATHER;0,0,0;Short;Oversize;;Shirt-style collar;Long;;;Heavy;;Sin Estampado;Casual Chic;TIME OFF;11/3/2024;19/5/2024;10;816;7;FALSE;59.99;27009;3762
26;87;Blazers;Outerwear;WOVEN;133,65,142;;;;Flap;Long;;;Medium;;Sin Estampado;Lady;FORMAL EVENT;6/11/2023;31/12/2023;8;249;7;FALSE;69.99;3074;3218
27;88;Puffer coats;Outerwear;WOVEN;0,0,0;Standard;Slim;;Turtle neck;Long;;;Medium;;Sin Estampado;Lady;TIME OFF;11/12/2023;3/3/2024;12;789;11;FALSE;39.99;28974;12441
28;86;Jumpsuit;Dresses, jumpsuits and Complete set;WOVEN;226,211,110;Long;Slim;;Asymmetric;Three quarters;;;Medium;;Sin Estampado;;CASUAL EVENT;28/11/2022;19/2/2023;12;94;5;FALSE;59.99;4408;606
29;86;Intimate;Accesories, Swim and Intimate;CIRCULAR;29,80,144;;;;;;;;;;Sin Estampado;;TIME OFF;28/11/2022;5/2/2023;10;29;3;FALSE;19.99;778;276
30;87;Trousers;Bottoms;CIRCULAR;0,0,0;Long;Palazzo;High Waist;;;;;Light;;Sin Estampado;Expert;TIME OFF;22/5/2023;13/8/2023;12;1145;11;FALSE;22.99;69202;50029
31;89;Skirts;Bottoms;WOVEN;116,60,69;Midi;Straight;Adjustable / Rubber;;;;;Light;;Sin Estampado;;CASUAL WORK;12/8/2024;6/10/2024;8;813;7;FALSE;35.99;25138;5524
32;89;Tops;Tops;CIRCULAR;0,0,0;Standard;Slim;;Rounded Neck;Sleeveless;;;Light;;Sin Estampado;Authentic;TIME OFF;29/7/2024;6/10/2024;10;491;5;FALSE;15.99;23715;13004
