ID;id_season;weekly_demand;family;category;fabric;color_rgb;length_type;silhouette_type;waist_type;neck_lapel_type;sleeve_length_type;heel_shape_type;toecap_type;woven_structure;knit_structure;print_type;archetype;moment;phase_in;phase_out;life_cycle_length;num_stores;num_sizes;has_plus_sizes;price;Production
1;86;806;Dresses;Dresses, jumpsuits and Complete set;WOVEN;255,215,0;Long;Evase;;V-Neck;Fine Strap;;;Light;;Sin Estampado;;TIME OFF;02/01/2023;26/03/2023;12;152;5;False;35.99;4556
2;88;2266;Shirt;Tops;WOVEN;178,211,178;Crop;Straight;;Shirt-style collar;Short;;;Light;;Sin Estampado;Casual Chic;CASUAL WORK;18/12/2023;10/03/2024;12;121;5;False;39.99;12267
3;89;63791;Jeans;Bottoms;JEANS;219,207,189;Ankle brace;Culotte;High Waist;;;;;;;Sin Estampado;Authentic;TIME OFF;15/07/2024;17/11/2024;18;1134;12;True;29.99;137780
4;89;11004;Shirt;Tops;WOVEN;0,130,195;Standard;Regular;;;Sleeveless;;;Light;;Rayas;;FORMAL WORK;26/08/2024;20/10/2024;8;1090;7;True;29.99;33001
6;86;14684;Cardigans;Tops;TRICOT;216,112,96;Standard;Straight;;V-Neck;Long;;;;Thick point;Sin Estampado;;TIME OFF;27/03/2023;21/05/2023;8;606;7;False;25.99;24098
7;86;27799;Coats;Outerwear;WOVEN;0,0,0;Long;Oversize;;Regular;Long;;;;;Sin Estampado;Casual Chic;CASUAL WORK;24/10/2022;15/01/2023;12;767;7;False;89.99;44294
8;87;4727;Shorts;Bottoms;WOVEN;0,0,0;Short;Paperbag;;;;;;;;Sin Estampado;Lady;CASUAL WORK;07/08/2023;17/09/2023;6;265;6;False;29.99;19925
10;89;4378;Dresses;Dresses, jumpsuits and Complete set;WOVEN;145,145,144;Midi;Slim;;Close-fitting;Wide Strap;;;Light;;Sin Estampado;;CASUAL EVENT;02/09/2024;13/10/2024;6;322;5;False;59.99;14500
11;88;722;Blazers;Outerwear;WOVEN;0,0,0;Standard;Oversize;;Peak Lapel;Long;;;;;Sin Estampado;Ideal;FORMAL WORK;27/05/2024;21/07/2024;8;105;5;False;79.99;5241
12;89;9978;Sweater;Tops;TRICOT;81,77,50;Standard;Straight;;Turtle neck;Long;;;;Midpoint;Sin Estampado;;TIME OFF;14/10/2024;08/12/2024;8;868;5;False;39.99;17379
17;87;8896;Trousers;Bottoms;WOVEN;225,204,175;Long;;;;;;;;;Sin Estampado;Casual Chic;CASUAL WORK;04/09/2023;12/11/2023;10;800;11;False;29.99;37431
18;89;15671;Coats;Outerwear;WOVEN;49,47,72;Long;Straight;;Peak Lapel;Long;;;Medium;;Sin Estampado;Lady;FORMAL WORK;16/09/2024;22/12/2024;14;934;11;True;79.99;39841
19;88;9209;Dresses;Dresses, jumpsuits and Complete set;WOVEN;29,80,144;Long;Evase;;Shirt-style collar;Long;;;Light;;Otros Estampados;;CASUAL WORK;11/03/2024;05/05/2024;8;1135;11;True;39.99;35895
20;89;3890;T-shirt;Tops;CIRCULAR;245,244,238;Standard;Regular;;;;;;;;Sin Estampado;Lady;CASUAL WORK;12/08/2024;03/11/2024;12;384;5;False;15.99;25394
22;86;6657;Shirt;Tops;WOVEN;245,244,238;Standard;Straight;;;Sleeveless;;;Light;;Sin Estampado;Wow;FORMAL WORK;03/04/2023;14/05/2023;6;282;5;False;29.99;13798
24;88;3762;Jackets;Outerwear;SYNTHETIC LEATHER;0,0,0;Short;Oversize;;Shirt-style collar;Long;;;Heavy;;Sin Estampado;Casual Chic;TIME OFF;11/03/2024;19/05/2024;10;816;7;False;59.99;27009
26;87;3218;Blazers;Outerwear;WOVEN;133,65,142;;;;Flap;Long;;;Medium;;Sin Estampado;Lady;FORMAL EVENT;06/11/2023;31/12/2023;8;249;7;False;69.99;3074
27;88;12441;Puffer coats;Outerwear;WOVEN;0,0,0;Standard;Slim;;Turtle neck;Long;;;Medium;;Sin Estampado;Lady;TIME OFF;11/12/2023;03/03/2024;12;789;11;False;39.99;28974
28;86;606;Jumpsuit;Dresses, jumpsuits and Complete set;WOVEN;226,211,110;Long;Slim;;Asymmetric;Three quarters;;;Medium;;Sin Estampado;;CASUAL EVENT;28/11/2022;19/02/2023;12;94;5;False;59.99;4408
29;86;276;Intimate;Accesories, Swim and Intimate;CIRCULAR;29,80,144;;;;;;;;;;Sin Estampado;;TIME OFF;28/11/2022;05/02/2023;10;29;3;False;19.99;778
30;87;50029;Trousers;Bottoms;CIRCULAR;0,0,0;Long;Palazzo;High Waist;;;;;Light;;Sin Estampado;Expert;TIME OFF;22/05/2023;13/08/2023;12;1145;11;False;22.99;69202
31;89;5524;Skirts;Bottoms;WOVEN;116,60,69;Midi;Straight;Adjustable / Rubber;;;;;Light;;Sin Estampado;;CASUAL WORK;12/08/2024;06/10/2024;8;813;7;False;35.99;25138
32;89;13004;Tops;Tops;CIRCULAR;0,0,0;Standard;Slim;;Rounded Neck;Sleeveless;;;Light;;Sin Estampado;Authentic;TIME OFF;29/07/2024;06/10/2024;10;491;5;False;15.99;23715
33;86;43;Jumpsuit;Dresses, jumpsuits and Complete set;LEATHER;129,105,81;Short;Straight;;;Short;;;Heavy;;Sin Estampado;Casual Chic;CASUAL WORK;30/01/2023;12/03/2023;6;19;4;False;199.99;328
35;88;3436;Cardigans;Tops;TRICOT;0,0,0;Standard;Oversize;;Close-fitting;Long;;;;Fine point;Sin Estampado;Ideal;TIME OFF;29/01/2024;24/03/2024;8;353;7;False;49.99;15156
36;89;43173;T-shirt;Tops;CIRCULAR;145,145,144;Standard;Straight;;Boat;Long;;;Light;;Sin Estampado;;TIME OFF;19/08/2024;08/12/2024;16;972;6;False;9.99;67103
37;87;19343;Jeans;Bottoms;JEANS;23,26,28;Standard;Straight;Regular Waist;;;;;Medium;;Sin Estampado;;TIME OFF;17/07/2023;08/10/2023;12;847;8;False;29.99;53568
38;87;192;Dresses;Dresses, jumpsuits and Complete set;CIRCULAR;132,39,86;Maxi;Oversize;;Halter;Sleeveless;;;Medium;;Sin Estampado;Expert;CASUAL EVENT;27/11/2023;21/01/2024;8;57;5;False;59.99;2134
39;87;3888;Trenchcoats;Outerwear;SYNTHETIC LEATHER;0,0,0;Long;Straight;;Flap;;;;Heavy;;Sin Estampado;Casual Chic;TIME OFF;04/09/2023;12/11/2023;10;241;7;False;89.99;6538
40;88;190;Skirts;Bottoms;WOVEN;212,200,181;Short;Evase;High Waist;;;;;Light;;Sin Estampado;Casual Chic;CASUAL WORK;01/01/2024;11/02/2024;6;43;4;False;35.99;1983
41;89;27187;Sweater;Tops;TRICOT;0,0,0;Standard;Slim;;Close-fitting;Long;;;;Fine point;Sin Estampado;;CASUAL WORK;26/08/2024;20/10/2024;8;966;8;True;19.99;63758
42;87;3979;Shirt;Tops;WOVEN;242,160,157;Long;Oversize;;Shirt-style collar;Long;;;Light;;Sin Estampado;;CASUAL WORK;14/08/2023;22/10/2023;10;470;7;False;39.99;19725
45;88;16605;Dresses;Dresses, jumpsuits and Complete set;WOVEN;0,0,0;Midi;Slim;;Low cut;Sleeveless;;;Light;;Sin Estampado;;FORMAL WORK;11/03/2024;05/05/2024;8;1152;5;False;39.99;38066
46;88;443;Skirts;Bottoms;WOVEN;97,91,78;Asymmetric;Evase;High Waist;;;;;Light;;Sin Estampado;Lady;CASUAL WORK;26/02/2024;21/04/2024;8;81;5;False;49.99;2596
47;87;751;Tops;Tops;CIRCULAR;0,0,0;Standard;Slim;;Halter;Sleeveless;;;Medium;;Sin Estampado;Lady;CASUAL EVENT;25/09/2023;03/12/2023;10;88;5;False;22.99;3638
48;87;2284;T-shirt;Tops;CIRCULAR;61,40,49;Standard;Regular;;Rounded Neck;Short;;;Medium;;Rayas;Authentic;TIME OFF;29/05/2023;20/08/2023;12;58;5;False;9.99;8334
49;86;11533;Dresses;Dresses, jumpsuits and Complete set;WOVEN;242,160,157;Short;Evase;;Rounded Neck;Long;;;Light;;Flores;Casual Chic;CASUAL EVENT;27/03/2023;07/05/2023;6;424;7;False;35.99;19647
50;87;2600;Puffer coats;Outerwear;WOVEN;0,0,0;Standard;Oversize;;Rounded Neck;Long;;;Heavy;;Sin Estampado;Ideal;TIME OFF;11/09/2023;19/11/2023;10;364;7;False;49.99;23471
51;89;3471;Cardigans;Tops;TRICOT;0,0,0;Standard;Straight;;Rounded Neck;Short;;;;Fine point;Sin Estampado;;CASUAL WORK;26/08/2024;06/10/2024;6;237;3;False;35.99;13208
52;87;50969;T-shirt;Tops;CIRCULAR;0,0,0;Standard;Regular;;Boat;Long;;;Light;;Sin Estampado;Authentic;CASUAL WORK;21/08/2023;10/12/2023;16;1028;11;False;15.99;73169
54;89;19740;Sweater;Tops;TRICOT;102,102,102;Medium;Straight;;Perkins;Long;;;;Midpoint;Sin Estampado;;TIME OFF;14/10/2024;08/12/2024;8;1035;11;True;29.99;27622
55;89;9263;Sweater;Tops;TRICOT;186,186,186;Standard;Slim;;Close-fitting;Long;;;;Fine point;Sin Estampado;;CASUAL WORK;09/09/2024;03/11/2024;8;904;5;False;25.99;26615
56;86;17398;Tops;Tops;CIRCULAR;233,227,214;Crop;Straight;;Rounded Neck;Sleeveless;;;Light;;Sin Estampado;Lady;TIME OFF;08/05/2023;18/06/2023;6;408;5;False;35.99;20268
57;86;23011;Trenchcoats;Outerwear;WOVEN;81,77,50;Long;Straight;;Flap;;;;Medium;;Sin Estampado;Casual Chic;CASUAL WORK;06/02/2023;30/04/2023;12;827;11;True;69.99;39230
58;89;3655;Skirts;Bottoms;TRICOT;233,227,214;Midi;Straight;Adjustable / Rubber;;;;;;Midpoint;Sin Estampado;;TIME OFF;07/10/2024;03/11/2024;4;188;3;False;39.99;5411
59;88;104162;Jeans;Bottoms;JEANS;219,207,189;Crop;Flared / Flare;Regular Waist;;;;;Medium;;Sin Estampado;;TIME OFF;13/11/2023;12/05/2024;26;1148;11;False;25.99;128698
61;86;24592;Dresses;Dresses, jumpsuits and Complete set;WOVEN;29,80,144;Long;Evase;;Halter;Sleeveless;;;Light;;Lunares/Topos;Wow;FORMAL EVENT;13/03/2023;23/04/2023;6;1139;11;True;59.99;36786
63;87;1218;Jeans;Bottoms;JEANS;45,57,78;Long;Flared / Flare;Adjustable / Rubber;;;;;Medium;;Sin Estampado;;TIME OFF;24/07/2023;17/09/2023;8;25;5;False;39.99;3132
64;87;13358;Shirt;Tops;WOVEN;245,237,193;Standard;Oversize;;V-Neck;Long;;;Light;;Sin Estampado;Lady;CASUAL WORK;22/05/2023;16/07/2023;8;822;7;False;22.99;31986
66;89;7671;Tops;Tops;CIRCULAR;0,0,0;Standard;Straight;;V-Neck;Fine Strap;;;Medium;;Sin Estampado;Lady;CASUAL EVENT;04/11/2024;29/12/2024;8;854;7;False;22.99;21132
67;88;5147;Jumpsuit;Dresses, jumpsuits and Complete set;JEANS;45,57,78;Long;Slim;;;;;;;;Sin Estampado;;TIME OFF;11/12/2023;03/03/2024;12;1005;7;False;49.99;21010
68;86;22481;Jumpsuit;Dresses, jumpsuits and Complete set;CIRCULAR;0,0,0;Crop;Straight;;;;;;Light;;Sin Estampado;;FORMAL WORK;27/02/2023;21/05/2023;12;1128;7;False;29.99;57038
69;88;10557;Skirts;Bottoms;WOVEN;243,242,238;Long;Evase;Adjustable / Rubber;;;;;Light;;Flores;;CASUAL WORK;11/03/2024;05/05/2024;8;1112;6;False;25.99;35174
70;89;8119;Tops;Tops;CIRCULAR;0,0,0;Crop;Straight;;Rounded Neck;Short;;;Light;;Sin Estampado;;TIME OFF;17/06/2024;11/08/2024;8;285;5;False;22.99;24567
71;87;20557;Dresses;Dresses, jumpsuits and Complete set;CIRCULAR;0,0,0;Midi;Straight;;;;;;;;Sin Estampado;Authentic;CASUAL WORK;10/07/2023;03/09/2023;8;996;11;False;35.99;30159
72;86;2261;Jackets;Outerwear;WOVEN;189,22,62;Standard;Straight;;Rounded Neck;Long;;;Heavy;;Cuadros;;CASUAL EVENT;19/12/2022;12/03/2023;12;160;5;False;6.99;3723
73;86;17284;Dresses;Dresses, jumpsuits and Complete set;CIRCULAR;241,133,0;Midi;Evase;;;;;;;;Sin Estampado;Casual Chic;TIME OFF;24/04/2023;18/06/2023;8;868;7;False;25.99;70542
74;86;13823;Shirt;Tops;WOVEN;0,0,0;Standard;Evase;;V-Neck;Long;;;;;Sin Estampado;Lady;FORMAL WORK;16/01/2023;07/05/2023;16;942;11;True;22.99;45013
76;89;1437;Skirts;Bottoms;WOVEN;57,28,29;Midi;Pencil;;;;;;Medium;;Sin Estampado;Lady;CASUAL WORK;14/10/2024;08/12/2024;8;168;3;False;49.99;3445
77;86;1133;Tops;Tops;WOVEN;243,242,238;Standard;Straight;;Close-fitting;Sleeveless;;;Light;;Sin Estampado;;TIME OFF;05/12/2022;26/02/2023;12;116;5;False;29.99;4671
78;89;18168;Jeans;Bottoms;JEANS;245,244,238;Ankle brace;Slim;High Waist;;;;;Medium;;Sin Estampado;;TIME OFF;03/06/2024;25/08/2024;12;1028;8;False;29.99;64058
79;86;12419;Trousers;Bottoms;JEANS;224,198,198;Crop;Slouchy;High Waist;;;;;Medium;;Sin Estampado;;TIME OFF;17/04/2023;25/06/2023;10;443;7;False;27.99;23016
81;88;2685;Tops;Tops;WOVEN;216,209,195;Standard;;;Word honor;Sleeveless;;;Medium;;Sin Estampado;;CASUAL EVENT;04/03/2024;28/04/2024;8;180;4;False;25.99;8001
82;88;9078;Trousers;Bottoms;WOVEN;79,132,84;Long;Slim;Regular Waist;;;;;;;Sin Estampado;Lady;FORMAL WORK;11/12/2023;31/03/2024;16;1121;7;False;27.99;58479
83;87;37780;Blazers;Outerwear;WOVEN;54,31,18;Standard;Straight;;Flap;Long;;;Medium;;Sin Estampado;Casual Chic;CASUAL WORK;21/08/2023;21/01/2024;22;1236;7;False;49.99;59229
84;87;1039;Trousers;Bottoms;TRICOT;0,0,0;Standard;Regular;Adjustable / Rubber;;;;;;Fine point;Sin Estampado;Ideal;TIME OFF;25/09/2023;19/11/2023;8;143;5;False;35.99;4740
85;87;739;Cardigans;Tops;TRICOT;235,205,207;Crop;Slim;;V-Neck;Long;;;;Midpoint;Sin Estampado;Casual Chic;TIME OFF;16/10/2023;10/12/2023;8;165;3;False;29.99;5814
86;89;10917;Coats;Outerwear;WOVEN;0,0,0;Long;Slim;;Flap;Long;;;Heavy;;Sin Estampado;Lady;FORMAL EVENT;14/10/2024;22/12/2024;10;585;7;False;159.99;14897
87;86;1680;Dresses;Dresses, jumpsuits and Complete set;WOVEN;68,178,169;Midi;;;Draped;Short;;;Light;;Sin Estampado;;FORMAL EVENT;06/03/2023;28/05/2023;12;173;5;False;59.99;3449
