ID;id_season;weekly_demand;family;category;fabric;color_rgb;length_type;silhouette_type;waist_type;neck_lapel_type;sleeve_length_type;heel_shape_type;toecap_type;woven_structure;knit_structure;print_type;archetype;moment;phase_in;phase_out;life_cycle_length;num_stores;num_sizes;has_plus_sizes;price;Production
1;86;806;4;2;5;174;4;8;-1;24;0;;;2;-1;20;-1;4;4;95;12;152;5;False;35.99;4556
2;88;2266;15;4;5;75;3;27;-1;20;2;;;2;-1;20;1;1;65;33;12;121;5;False;39.99;12267
3;89;63791;7;1;1;120;0;7;1;-1;-1;;;-1;-1;20;0;4;54;62;18;1134;12;True;29.99;137780
4;89;11004;15;4;5;3;10;21;-1;-1;3;;;2;-1;19;-1;3;94;73;8;1090;7;True;29.99;33001
6;86;14684;2;4;4;113;10;27;-1;24;1;;;-1;3;20;-1;4;97;76;8;606;7;False;25.99;24098
7;86;27799;3;3;5;0;4;15;-1;18;1;;;-1;-1;20;1;1;87;52;12;767;7;False;89.99;44294
8;87;4727;16;1;5;0;9;17;-1;-1;-1;;;-1;-1;20;5;1;23;61;6;265;6;False;29.99;19925
10;89;4378;4;2;5;38;7;25;-1;3;5;;;2;-1;20;-1;0;5;47;6;322;5;False;59.99;14500
11;88;722;0;3;5;0;10;15;-1;15;1;;;-1;-1;20;4;3;98;77;8;105;5;False;79.99;5241
12;89;9978;18;4;4;225;10;27;-1;22;1;;;-1;2;20;-1;4;49;28;8;868;5;False;39.99;17379
17;87;8896;24;1;5;125;4;-1;-1;-1;-1;;;-1;-1;20;1;1;12;45;10;800;11;False;29.99;37431
18;89;15671;3;3;5;194;4;27;-1;15;1;;;3;-1;20;5;3;56;81;14;934;11;True;79.99;39841
19;88;9209;4;2;5;178;4;8;-1;20;1;;;2;-1;15;-1;1;36;17;8;1135;11;True;39.99;35895
20;89;3890;21;4;0;166;10;21;-1;-1;-1;;;-1;-1;20;5;1;42;9;12;384;5;False;15.99;25394
22;86;6657;15;4;5;166;10;27;-1;-1;3;;;2;-1;20;6;3;8;50;6;282;5;False;29.99;13798
24;88;3762;6;3;3;0;9;15;-1;20;1;;;1;-1;20;1;4;36;70;10;816;7;False;59.99;27009
26;87;3218;0;3;5;31;-1;-1;-1;5;1;;;3;-1;20;5;2;22;112;8;249;7;False;69.99;3074
27;88;12441;14;3;5;0;10;25;-1;22;1;;;3;-1;20;5;4;39;7;12;789;11;False;39.99;28974
28;86;606;8;2;5;128;4;25;-1;0;4;;;3;-1;20;-1;0;102;68;12;94;5;False;59.99;4408
29;86;276;5;0;0;178;-1;-1;-1;-1;-1;;;-1;-1;20;-1;4;102;15;10;29;3;False;19.99;778
30;87;50029;24;1;0;0;4;16;1;-1;-1;;;2;-1;20;3;4;79;46;12;1145;11;False;22.99;69202
31;89;5524;17;1;5;14;7;27;0;-1;-1;;;2;-1;20;-1;1;42;20;8;813;7;False;35.99;25138
32;89;13004;22;4;0;0;10;25;-1;19;3;;;2;-1;20;0;4;106;20;10;491;5;False;15.99;23715
33;86;43;8;2;2;23;9;27;-1;-1;2;;;1;-1;20;1;1;107;43;6;19;4;False;199.99;328
35;88;3436;2;4;4;0;10;15;-1;3;1;;;-1;0;20;4;4;103;85;8;353;7;False;49.99;15156
36;89;43173;21;4;0;38;10;27;-1;2;1;;;2;-1;20;-1;4;68;28;16;972;6;False;9.99;67103
37;87;19343;7;1;1;134;10;27;3;-1;-1;;;3;-1;20;-1;4;61;27;12;847;8;False;29.99;53568
38;87;192;4;2;0;27;5;15;-1;7;3;;;3;-1;20;3;0;99;74;8;57;5;False;59.99;2134
39;87;3888;23;3;3;0;4;27;-1;5;-1;;;1;-1;20;1;4;12;45;10;241;7;False;89.99;6538
40;88;190;17;1;5;112;9;8;1;-1;-1;;;2;-1;20;1;1;0;37;6;43;4;False;35.99;1983
41;89;27187;18;4;4;0;10;25;-1;3;1;;;-1;0;20;-1;1;94;73;8;966;8;True;19.99;63758
42;87;3979;15;4;5;158;4;15;-1;20;1;;;2;-1;20;-1;1;48;80;10;470;7;False;39.99;19725
45;88;16605;4;2;5;0;7;25;-1;11;3;;;2;-1;20;-1;3;36;17;8;1152;5;False;39.99;38066
46;88;443;17;1;5;232;1;8;1;-1;-1;;;2;-1;20;5;1;92;75;8;81;5;False;49.99;2596
47;87;751;22;4;0;0;10;25;-1;7;3;;;3;-1;20;5;0;89;10;10;88;5;False;22.99;3638
48;87;2284;21;4;0;206;10;21;-1;19;2;;;3;-1;19;0;4;105;72;12;58;5;False;9.99;8334
49;86;11533;4;2;5;158;9;8;-1;19;1;;;2;-1;7;1;0;97;23;6;424;7;False;35.99;19647
50;87;2600;14;3;5;0;10;15;-1;19;1;;;1;-1;20;4;4;37;71;10;364;7;False;49.99;23471
51;89;3471;2;4;4;0;10;27;-1;19;2;;;-1;0;20;-1;1;94;20;6;237;3;False;35.99;13208
52;87;50969;21;4;0;0;10;21;-1;2;1;;;2;-1;20;0;1;74;36;16;1028;11;False;15.99;73169
54;89;19740;18;4;4;6;6;27;-1;16;1;;;-1;2;20;-1;4;49;28;8;1035;11;True;29.99;27622
55;89;9263;18;4;4;87;10;25;-1;3;1;;;-1;0;20;-1;1;31;9;8;904;5;False;25.99;26615
56;86;17398;22;4;0;138;3;27;-1;19;3;;;2;-1;20;5;4;28;65;6;408;5;False;35.99;20268
57;86;23011;23;3;5;225;4;27;-1;5;-1;;;3;-1;20;1;1;19;108;12;827;11;True;69.99;39230
58;89;3655;17;1;4;138;7;27;0;-1;-1;;;-1;2;20;-1;4;24;9;4;188;3;False;39.99;5411
59;88;104162;7;1;1;120;3;10;3;-1;-1;;;3;-1;20;-1;4;47;44;26;1148;11;False;25.99;128698
61;86;24592;4;2;5;178;4;8;-1;7;3;;;2;-1;12;6;2;45;82;6;1139;11;True;59.99;36786
63;87;1218;7;1;1;191;4;10;0;-1;-1;;;3;-1;20;-1;4;86;61;8;25;5;False;39.99;3132
64;87;13358;15;4;5;165;10;15;-1;24;1;;;2;-1;20;5;1;79;59;8;822;7;False;22.99;31986
66;89;7671;22;4;0;0;10;27;-1;24;0;;;3;-1;20;5;0;13;107;8;854;7;False;22.99;21132
67;88;5147;8;2;1;191;4;25;-1;-1;-1;;;-1;-1;20;-1;4;39;7;12;1005;7;False;49.99;21010
68;86;22481;8;2;0;0;3;27;-1;-1;-1;;;2;-1;20;-1;3;96;76;12;1128;7;False;29.99;57038
69;88;10557;17;1;5;162;4;8;0;-1;-1;;;2;-1;7;-1;1;36;17;8;1112;6;False;25.99;35174
70;89;8119;22;4;0;0;3;27;-1;19;2;;;2;-1;20;-1;4;60;39;8;285;5;False;22.99;24567
71;87;20557;4;2;0;0;7;27;-1;-1;-1;;;-1;-1;20;0;1;35;8;8;996;11;False;35.99;30159
72;86;2261;6;3;5;94;10;27;-1;19;1;;;1;-1;3;-1;0;69;43;12;160;5;False;6.99;3723
73;86;17284;4;2;0;157;7;8;-1;-1;-1;;;-1;-1;20;1;4;84;65;8;868;7;False;25.99;70542
74;86;13823;15;4;5;0;10;8;-1;24;1;;;-1;-1;20;5;3;55;23;16;942;11;True;22.99;45013
76;89;1437;17;1;5;203;7;19;-1;-1;-1;;;3;-1;20;5;1;49;28;8;168;3;False;49.99;3445
77;86;1133;22;4;5;162;10;27;-1;3;3;;;2;-1;20;-1;4;18;94;12;116;5;False;29.99;4671
78;89;18168;7;1;1;166;0;25;1;-1;-1;;;3;-1;20;-1;4;9;91;12;1028;8;False;29.99;64058
79;86;12419;24;1;1;123;3;26;1;-1;-1;;;3;-1;20;-1;4;59;90;10;443;7;False;27.99;23016
81;88;2685;22;4;5;116;10;-1;-1;25;3;;;3;-1;20;-1;0;11;101;8;180;4;False;25.99;8001
82;88;9078;24;1;5;222;4;25;3;-1;-1;;;-1;-1;20;5;3;39;111;16;1121;7;False;27.99;58479
83;87;37780;0;3;5;200;10;27;-1;5;1;;;3;-1;20;1;1;74;74;22;1236;7;False;49.99;59229
84;87;1039;24;1;4;0;10;21;0;-1;-1;;;-1;0;20;4;4;89;71;8;143;5;False;35.99;4740
85;87;739;2;4;4;143;3;25;-1;24;1;;;-1;2;20;1;4;57;36;8;165;3;False;29.99;5814
86;89;10917;3;3;5;0;4;25;-1;5;1;;;1;-1;20;5;2;49;81;10;585;7;False;159.99;14897
87;86;1680;4;2;5;213;7;-1;-1;4;2;;;2;-1;20;-1;2;20;102;12;173;5;False;59.99;3449
88;87;2531;21;4;0;162;10;21;-1;19;2;;;3;-1;19;0;4;105;45;24;111;5;False;9.99;10333
89;88;479;4;2;5;133;4;8;-1;20;3;;;2;-1;20;-1;1;27;17;4;72;7;True;39.99;4717
91;89;4017;18;4;4;94;10;27;-1;22;1;;;-1;2;20;-1;4;49;28;8;787;5;False;39.99;13568
92;87;688;21;4;0;138;10;21;-1;19;2;;;1;-1;20;5;4;89;71;8;69;4;False;12.99;3544
93;86;1681;24;1;5;0;3;7;0;-1;-1;;;2;-1;20;-1;4;50;15;12;141;5;False;27.99;9056
94;87;704;5;0;4;125;-1;-1;-1;-1;-1;;;-1;-1;20;0;4;74;36;16;59;3;False;39.99;1103
95;89;1993;4;2;5;75;4;8;-1;11;0;;;2;-1;20;-1;4;29;13;4;133;5;False;45.99;7221
96;86;1128;22;4;5;161;3;25;-1;11;5;;;1;-1;20;-1;0;43;16;12;134;5;False;29.99;5264
97;89;11710;17;1;5;0;9;27;-1;-1;-1;;;-1;-1;20;-1;3;108;81;12;601;7;False;35.99;18861
98;89;14512;24;1;3;0;4;0;1;-1;-1;;;3;-1;20;1;1;82;41;16;715;11;False;39.99;50810
