ID,Production
15,6386
16,6920
20,16614
29,11387
34,45047
36,3413
40,11547
62,44699
65,9439
75,33642
85,28514
90,1292
98,20647
101,9424
109,71233
110,59
111,770
115,2188
121,3371
127,889
134,13417
138,1095
147,764
160,1457
166,382
168,307
171,79247
179,11997
180,90307
184,15845
186,3641
190,87994
191,5919
196,16631
200,1066
205,272
207,99780
210,50369
215,12052
218,11155
224,423
225,6688
232,37903
234,13608
252,14629
253,893
254,42044
268,305
272,15343
274,47716
279,7348
284,675
302,1036
306,13232
312,955
314,5408
318,50473
322,28743
325,41277
330,175
336,1597
345,7918
346,42229
358,36665
362,18778
369,2048
371,672
376,1409
379,2082
389,2471
391,3844
392,6920
393,12350
400,8117
404,4773
405,316
414,1553
430,882
443,745
449,20140
451,10685
455,4752
458,9203
471,1119
476,41855
480,23169
482,258
484,18796
486,535
489,2260
491,27335
493,1036
495,6939
498,1023
499,11020
503,16486
509,5585
512,282
514,780
517,657
531,9021
533,10255
536,428
541,776
546,333
562,491
563,8663
565,15152
584,4392
599,2721
601,288
613,16645
615,618
618,39924
621,7488
625,2011
630,19188
633,3456
635,8494
650,1995
654,13559
667,813
668,8755
681,8524
688,2737
693,7447
703,75724
715,17768
723,14711
724,9803
732,6157
740,10920
754,854
757,15316
759,16354
761,14275
762,19466
769,4767
784,94295
785,1446
791,4943
797,2126
810,2083
816,744
820,2861
832,3696
837,7907
838,39959
839,14420
842,19328
848,11033
852,9423
853,743
865,38037
871,55496
873,1901
875,2443
877,52522
879,35810
881,14117
897,8828
906,1209
922,14809
933,8191
939,1151
947,9944
957,1085
966,1963
970,1165
979,2810
997,7377
1006,1828
1007,16855
1008,40804
1009,1085
1012,42530
1014,58602
1015,804
1033,12412
1040,10881
1047,35325
1050,14599
1052,1330
1069,15243
1071,12982
1072,8271
1080,18678
1081,10177
1083,8247
1086,3599
1090,220
1103,18287
1105,2061
1112,10440
1114,963
1122,8395
1129,81276
1132,8547
1133,27501
1135,7008
1143,8042
1150,5766
1165,12803
1172,14261
1185,1071
1199,752
1205,8536
1211,7105
1225,2706
1227,1396
1235,350
1238,14707
1239,23350
1241,3482
1245,11875
1247,2888
1252,1136
1257,3428
1275,1165
1284,10139
1285,733
1286,3560
1298,5793
1300,10793
1305,940
1310,9822
1312,5899
1317,2700
1324,9598
1325,7014
1328,53148
1348,11085
1350,1045
1378,209
1382,1142
1397,396
1408,1061
1409,9341
1413,11178
1415,1299
1418,12695
1422,17228
1427,30351
1428,14372
1432,1308
1442,51268
1447,1563
1450,6003
1454,1284
1455,11994
1465,6173
1470,14621
1471,10101
1480,2984
1482,39848
1488,13946
1498,951
1499,866
1500,1801
1503,2751
1506,10099
1511,19300
1518,36856
1528,43754
1530,6278
1535,5238
1545,1215
1559,14971
1564,2100
1570,920
1572,46893
1573,9332
1578,23383
1588,21136
1593,15776
1594,6614
1596,1023
1600,4660
1601,1157
1602,1242
1610,30135
1612,5359
1615,2101
1621,4981
1625,9225
1626,11906
1641,14415
1645,7620
1649,4633
1655,18502
1657,5393
1660,3945
1666,1865
1674,1313
1687,14596
1691,1317
1699,11485
1704,4285
1709,28285
1724,1637
1725,6784
1726,832
1728,1287
1730,7394
1733,99345
1747,5638
1749,1051
1754,13394
1760,8917
1771,13272
1772,752
1775,9731
1784,8049
1788,2108
1795,12453
1796,1273
1798,12183
1799,20259
1801,619
1807,1911
1813,3657
1814,1261
1817,3359
1819,9438
1827,2114
1838,312
1853,57321
1869,47553
1889,12204
1890,4873
1891,404
1895,13283
1897,13800
1899,1040
1908,1494
1911,853
1916,4507
1921,1701
1922,2705
1930,13692
1939,1491
1942,13185
1952,45309
1956,3220
1958,1250
1962,40445
1963,11057
1964,70637
1966,12837
1969,37009
1975,1562
1984,17272
1986,6119
1989,57
1991,4883
2001,1738
2002,48445
2011,321
2013,9034
2017,182
2032,3513
2033,1228
2034,60038
2035,11000
2038,3257
2042,243
2043,3487
2051,57319
2059,47206
2061,1117
2067,36060
2083,25671
2084,52289
2105,62545
2114,17383
2116,381
2119,20064
2122,11793
2135,20284
2137,6788
2153,784
2156,6636
2157,44082
2164,1161
2178,3865
2183,1876
2197,7500
2207,25040
2213,37261
2218,16871
2221,42890
2222,7863
2229,1196
2236,5924
2238,36482
2241,15720
2242,8858
2246,98043
2250,30008
2253,4516
2257,15759
2268,91699
2275,10689
2276,26674
2285,3130
2291,12547
2292,12803
2297,2160
2298,3690
2301,1021
2307,1085
2308,10373
2309,3494
2312,25704
2313,12011
2317,9667
2340,9990
2350,7282
2353,12751
2357,7645
2360,9637
2363,3408
2364,1598
2367,7902
2377,16928
2378,658
2385,1066
2388,1959
2389,438
2393,6648
2413,1063
2414,59593
2415,7399
2416,364
2430,15928
2432,18202
2435,5304
2439,9225
2440,37546
2443,18536
2448,13727
2463,39633
2466,1279
2469,1642
2471,69328
2474,594
2482,4913
2485,34752
2486,571
2493,31792
2495,5978
2499,38064
2502,704
2504,275
2507,6683
2510,9189
2519,833
2530,7349
2531,1195
2535,4195
2537,1037
2543,10907
2552,15646
2554,7230
2556,7854
2566,2739
2573,1893
2576,4547
2578,44917
2579,357
2590,180696
2593,9408
2594,13984
2601,31589
2609,5334
2613,47970
2631,5257
2644,44265
2649,11823
2651,18601
2654,512
2655,9100
2657,7477
2663,19834
2666,20957
2670,919
2684,14119
2686,405
2688,9446
2701,1356
2702,6790
2704,17049
2714,4597
2722,339
2724,34462
2727,9461
2733,14433
2740,6735
2747,975
2757,13444
2758,2088
2759,12780
2765,3083
2766,282
2769,503
2776,3899
2779,1898
2781,10007
2782,105
2789,12067
2793,978
2794,1020
2795,6686
2798,119
2805,9844
2806,3874
2807,1519
2811,9500
2818,6563
2828,3784
2830,1072
2835,853
2847,21443
2851,994
2856,7601
2860,983
2862,907
2869,1323
2871,4445
2877,841
2896,12387
2921,5753
2923,1012
2925,1284
2927,3383
2950,17131
2964,73154
2966,87141
2970,913
2980,357
2982,18074
2983,34125
2990,2014
2991,17266
3002,6843
3004,1642
3015,18213
3016,419
3018,4688
3029,5912
3033,3228
3034,4286
3055,24150
3056,17625
3057,302
3060,11839
3065,17200
3068,14894
3087,2232
3091,8685
3097,1559
3101,448
3105,17173
3108,830
3110,14810
3114,52574
3122,3706
3133,739
3135,19422
3141,15322
3143,497
3159,2648
3160,11773
3163,15901
3164,46392
3166,1763
3174,4993
3175,12581
3178,4384
3182,22295
3210,121
3211,893
3217,42079
3220,12683
3240,6710
3244,3510
3261,17316
3279,63004
3283,1049
3284,15236
3287,2496
3298,6436
3302,25148
3305,32123
3306,39264
3307,9747
3319,1056
3320,5173
3322,478
3326,7001
3332,1965
3335,19450
3342,2488
3349,41457
3351,7044
3354,39853
3355,550
3356,2201
3368,54041
3380,5966
3381,43052
3385,4980
3394,77
3397,12572
3398,3333
3414,13386
3417,6376
3422,1237
3450,256
3459,1077
3460,1075
3468,5389
3473,7305
3477,760
3480,5096
3482,668
3487,1466
3490,7755
3491,3754
3499,7208
3500,9621
3511,4350
3515,18144
3530,135
3531,1706
3538,12877
3556,1027
3557,1108
3560,3336
3563,181
3565,1259
3568,12794
3571,39065
3572,49000
3584,1137
3588,15645
3607,11358
3609,1353
3611,248
3612,11565
3618,5820
3619,5443
3643,269
3652,408
3653,2478
3655,13668
3669,785
3676,32746
3677,14421
3678,80644
3679,13066
3682,10880
3683,2785
3689,240
3690,7178
3695,1850
3696,21816
3697,940
3699,42737
3702,1165
3706,6605
3711,2919
3712,940
3714,50492
3715,2007
3717,27642
3721,1227
3726,13656
3728,10903
3738,5777
3753,856
3758,11095
3765,7655
3767,7813
3769,32439
3775,12826
3779,45715
3793,556
3795,5173
3796,1225
3809,1572
3812,11616
3838,40257
3840,8412
3844,1899
3845,592
3848,8550
3862,11101
3868,15762
3879,51488
3896,368
3905,1152
3914,165
3917,13774
3922,11493
3932,4925
3935,2360
3939,36257
3940,16960
3947,10764
3954,13771
3956,5275
3959,1260
3969,11696
3971,1401
3980,869
3981,826
3987,1298
3989,5690
3990,1269
3994,16929
3996,16761
3997,16286
3998,1825
4004,1645
4007,3088
4010,15791
4011,43433
4016,225
4024,27596
4026,5131
4027,14920
4031,13691
4034,10850
4041,2119
4046,10295
4054,13721
4058,1194
4067,2108
4070,10940
4072,8892
4075,1219
4085,15065
4097,100395
4098,3746
4101,1259
4103,955
4104,10754
4107,1786
4118,13378
4136,15362
4143,1177
4149,1319
4163,3999
4166,1362
4167,3711
4168,9158
4176,10360
4181,6455
4191,3809
4207,1417
4217,538
4218,22114
4220,13523
4226,12880
4228,24965
4230,6629
4231,1712
4233,1123
4234,7753
4259,11213
4260,4652
4261,76289
4277,728
4278,22774
4285,9238
4294,6926
4301,858
4310,11420
4319,934
4332,9118
4338,5635
4357,1093
4358,3143
4372,1551
4377,1487
4384,15020
4395,1218
4396,19128
4399,43746
4402,6323
4405,1378
4408,1621
4409,3685
4411,12837
4415,54884
4419,8269
4425,758
4431,7268
4436,2072
4443,23232
4461,8703
4464,11784
4483,1143
4495,2585
4500,813
4504,12410
4511,16634
4523,4372
4529,33967
4533,44356
4534,221
4535,15452
4537,1912
4539,9836
4551,8010
4564,423
4567,33447
4580,2875
4602,17992
4604,91128
4606,14493
4618,80056
4622,7045
4623,14708
4626,52051
4629,45266
4647,2243
4648,3182
4658,6189
4677,1546
4682,12181
4686,58420
4692,104125
4696,6629
4698,1486
4704,1954
4707,846
4709,3467
4721,5922
4725,5297
4740,10919
4741,1226
4746,39633
4750,11724
4756,2844
4758,20537
4766,44495
4767,1050
4770,1597
4773,223
4782,406
4783,9318
4788,21144
4790,10635
4793,14474
4794,350
4796,621
4805,51220
4809,9022
4810,4480
4813,957
4819,3798
4820,1928
4821,16874
4836,24391
4839,703
4853,16001
4856,4588
4860,35663
4862,21796
4875,54938
4880,9927
4882,11853
4885,305
4903,3597
4905,2777
4907,17124
4934,449
4938,88
4950,8976
4955,6075
4956,69789
4957,285
4962,35518
4963,7098
4967,9760
4973,1315
5001,3971
5025,714
5027,42792
5034,12181
5036,7587
5039,30105
5043,44976
5044,46032
5051,63802
5052,1119
5058,63648
5059,18554
5062,31365
5069,9674
5070,1250
5072,1025
5078,10251
5080,985
5083,7522
5085,51220
5087,17986
5092,2287
5096,1290
5099,10695
5105,11256
5106,5059
5120,6256
5121,771
5123,2641
5124,5258
5128,9161
5130,47818
5136,18262
5147,5136
5153,792
5163,1043
5165,25154
5167,31209
5168,49732
5176,1002
5186,8823
5190,1654
5191,3564
5192,8483
5199,9232
5207,16436
5217,38075
5223,9927
5230,1847
5231,10996
5233,51011
5236,1296
5244,11567
5248,7790
5250,9376
5254,1184
5262,1575
5284,1841
5288,3347
5293,3820
5306,11081
5310,844
5313,24884
5314,1160
5319,9688
5325,5140
5329,540
5333,14291
5354,2569
5356,3370
5374,17792
5385,32069
5386,3434
5404,14033
5415,12192
5418,1959
5419,1190
5433,726
5438,5753
5441,309
5465,46643
5466,956
5470,1952
5475,3761
5476,11072
5487,8358
5488,64838
5492,2293
5496,1538
5500,337
5511,3720
5521,1157
5527,1495
5528,44881
5530,50462
5531,807
5536,1968
5547,8517
5556,994
5558,489
5573,7097
5587,1802
5599,13643
5602,12661
5609,2271
5613,5283
5616,9272
5617,41851
5618,211
5619,4157
5620,13728
5625,260
5627,5122
5628,19819
5631,1278
5633,25988
5635,596
5642,248
5651,110063
5656,6684
5661,7562
5677,1978
5680,1319
5683,15295
5690,16861
5713,7532
5715,11314
5725,1783
5727,14493
5729,9496
5745,1179
5748,491
5749,5431
5752,14268
5772,3161
5782,38556
5786,29471
5788,8196
5799,15182
5804,425
5815,995
5819,2606
5823,15172
5827,47737
5829,5847
5836,23055
5841,8895
5865,11609
5867,4645
5868,98206
5876,2046
5882,9486
5890,1047
5891,13845
5892,13306
5898,289
5916,15453
5937,1324
5940,44058
5945,22569
5950,5992
5951,3256
5954,49122
5956,6820
5965,1019
5966,5555
5971,7549
5974,12871
5980,4426
5991,63681
5992,17984
5994,6180
6000,3518
6007,9472
6010,923
6015,1229
6024,3278
6025,15640
6026,553
6028,862
6031,31276
6038,52383
6049,6407
6051,444
6053,51373
6055,667
6058,14486
6059,244
6060,800
6061,5836
6064,1978
6065,3225
6072,1270
6074,11082
6075,477
6081,11692
6086,13691
6087,2439
6090,4249
6091,60905
6103,24068
6108,80815
6109,1825
6129,47986
6130,34185
6132,4102
6141,3197
6155,34956
6157,21555
6163,3599
6165,1104
6168,94877
6172,15362
6173,123770
6174,1848
6179,806
6180,13334
6182,9424
6186,15060
6198,18585
6211,32267
6215,1694
6222,6765
6228,39633
6232,4946
6240,80564
6241,2758
6242,979
6244,1168
6254,6757
6293,6949
6296,12543
6304,43581
6314,12934
6325,12371
6329,22963
6332,2208
6335,3219
6343,6568
6346,15905
6354,27490
6357,406
6360,40264
6369,9588
6372,6949
6381,450
6387,4569
6390,57845
6393,1334
6395,16111
6401,8765
6404,4127
6413,2059
6418,1365
6419,13016
6423,2140
6424,49490
6430,1911
6434,1768
6444,1008
6450,47631
6458,8858
6462,2952
6490,1330
6495,2982
6498,12815
6499,4157
6509,48884
6512,12402
6514,1292
6523,1977
6530,5283
6540,5818
6541,39848
6554,13101
6565,2106
6567,5036
6568,15833
6570,858
6571,399
6575,6819
6578,81349
6579,730
6595,15419
6602,8380
6603,42497
6604,15764
6610,41018
6613,8094
6619,802
6620,13830
6637,20229
6649,11743
6655,1093
6660,3087
6663,20435
6676,16063
6683,261
6687,557
6690,11769
6715,55133
6718,1106
6719,7507
6724,43777
6731,1148
6732,940
6734,8136
6741,1066
6744,45648
6752,5590
6777,3521
6782,8715
6801,14397
6803,5053
6807,8214
6808,1496
6824,956
6836,1006
6840,764
6841,1682
6844,17188
6851,11081
6855,307
6863,19416
6871,1056
6873,688
6885,63381
6888,14018
6896,22680
6904,43754
6909,10567
6912,1269
6919,20015
6927,10643
6949,12626
6950,289
6959,4271
6960,9365
6964,1084
6967,5118
6969,23455
6975,3502
6976,1365
6985,5354
6987,5108
7023,37702
7025,855
7029,10086
7033,78332
7034,9843
7040,307
7061,15174
7065,499
7066,3579
7067,463
7071,40467
7087,11503
7096,21507
7104,916
7121,2595
7149,21659
7151,275
7153,22512
7166,1055
7169,260
7174,486
7178,3113
7181,3599
7191,6061
7196,14730
7206,72778
7207,623
7211,1501
7212,1034
7213,6103
7217,11814
7219,2127
7226,106309
7228,3050
7230,3548
7238,1462
7246,1689
7247,8165
7256,21303
7260,8354
7272,75064
7275,3805
7291,5109
7296,10579
7298,5768
7302,7267
7311,935
7316,1421
7332,3050
7336,19952
7337,1196
7342,924
7343,41846
7351,1070
7365,1803
7370,1180
7372,13166
7373,1513
7383,74036
7398,693
7399,3782
7410,15740
7425,13493
7428,1160
7431,58
7432,3669
7445,13779
7460,2132
7464,6284
7465,88832
7475,12066
7477,16327
7483,9748
7490,7484
7497,3249
7501,801
7504,17568
7509,1172
7520,1417
7540,29238
7542,42075
7545,23503
7555,9647
7556,24422
7559,9076
7568,11307
7574,3175
7576,6469
7581,1474
7599,12661
7606,844
7609,2744
7610,12883
7613,4493
7615,11252
7618,5909
7626,1602
7629,1844
7632,541
7640,789
7650,2371
7651,4180
7656,644
7660,14270
7661,40118
7669,14992
7680,13085
7682,1178
7686,1372
7689,14244
7696,9858
7716,10411
7724,1542
7726,80564
7736,38514
7740,1040
7743,360
7745,11603
7747,7287
7750,477
7751,464
7753,10656
7757,14405
7779,275
7789,2762
7792,39230
7793,306
7794,11736
7799,13707
7803,48002
7815,17997
7818,1069
7828,73154
7849,10943
7853,13935
7863,979
7864,50801
7866,21324
7868,1000
7874,59997
7876,18242
7887,11696
7888,1393
7891,1749
7915,5559
7917,205
7920,1146
7927,1367
7936,309
7940,63147
7943,14149
7948,1579
7956,19021
7963,1146
7964,4569
7970,14275
7974,4333
7980,37425
7986,18139
7987,55297
7990,13813
7993,3576
7998,2977
8006,5516
8008,2061
8013,880
8025,11477
8027,432
8039,5594
8040,3937
8052,19388
8053,18868
8059,1085
8067,1363
8069,165
8071,468
8072,9541
8081,9082
8089,28262
8091,289
8093,2861
8095,503
8097,7056
8099,1376
8112,5745
8113,11847
8114,15578
8119,7425
8120,6389
8124,4813
8128,3979
8129,110063
8130,14768
8134,7363
8135,3789
8140,2438
8142,2684
8148,745
8149,2092
8155,993
8160,12066
8161,15491
8175,12243
8176,106929
8179,1277
8181,197
8182,6684
8186,759
8206,6799
8208,10800
8212,40545
8213,8187
8217,2519
8220,22794
8228,4944
8236,13164
8240,43905
8242,1159
8248,4205
8264,616
8280,13741
8282,2718
8288,2279
8300,10009
8301,11789
8327,13121
8329,3700
8334,14289
8337,434
8339,3095
8351,8126
8364,1668
8369,6376
8372,27222
8378,12612
8382,6382
8384,9355
8387,9068
8390,15694
8393,1370
8394,974
8400,11686
8407,16107
8412,10167
8413,14132
8422,6965
8427,7171
8429,102326
8433,8801
8439,92221
8443,8807
8445,1563
8466,863
8470,37743
8482,268
8485,986
8493,3826
8494,11291
8501,10014
8507,40797
8508,1847
8529,32546
8530,7816
8534,1979
8535,746
8540,123
8549,6295
8550,13359
8565,1114
8566,682
8571,6100
8576,17393
8579,15099
8595,41100
8603,1959
8604,60483
8617,2346
8630,899
8636,937
8637,34938
8643,853
8655,1627
8657,24354
8659,377
8667,5092
8673,86209
8674,7227
8684,8260
8698,7034
8699,4094
8706,10864
8711,5943
8718,53148
8723,698
8728,15534
8735,14242
8742,10273
8746,11167
8747,377
8748,1011
8750,150
8755,11770
8756,4644
8758,9027
8771,831
8775,7067
8783,882
8784,7451
8808,19465
8810,7970
8813,1872
8818,2474
8822,44356
8823,10740
8825,1524
8851,11049
8853,1773
8862,7829
8864,2557
8866,2374
8878,15280
8880,44058
8886,1312
8887,9723
8895,5773
8902,14955
8904,1353
8915,9438
8918,227
8922,13927
8928,726
8934,17764
8943,9191
8951,790
8978,10629
8992,14919
8998,1821
9001,16346
9005,3023
9013,4602
9017,14602
9029,2693
9031,2789
9033,7038
9037,589
9038,1114
9044,5190
9054,9862
9057,1765
9058,427
9081,39650
9089,11423
9101,647
9102,11953
9105,3366
9115,20227
9120,2474
9133,39724
9143,1157
9145,5968
9159,1297
9168,547
9169,52278
9170,1031
9171,1004
9174,683
9179,6689
9184,428
9187,3030
9201,9553
9202,4057
9206,15632
9221,12174
9233,408
9236,1339
9249,14902
9251,2694
9261,5438
9263,2233
9264,11089
9275,7897
9276,12152
9279,420
9280,46470
9285,10623
9297,849
9298,1278
9310,17608
9312,2744
9322,48938
9324,726
9329,1776
9338,13812
9344,2036
9348,12828
9353,2063
9357,1384
9358,12012
9361,1338
9362,878
9376,1003
9381,839
9383,307
9385,11149
9389,1104
9393,329
9394,56958
9400,11880
9402,85570
9412,6878
9413,7681
9424,1109
9428,695
9434,804
9440,22039
9450,38205
9452,488
9454,18306
9465,16975
9474,15645
9494,7485
9501,1053
9507,19732
9508,554
9510,2177
9519,10726
9521,7584
9524,655
9539,6288
9543,65243
9546,17261
9554,16868
9556,2468
9561,880
9572,1365
9573,5087
9579,765
9592,29586
9597,49835
9598,84
9603,3163
9607,891
9619,540
9622,40180
9624,726
9630,4151
9634,64048
9644,7681
9652,1274
9657,1687
9659,1127
9661,109
9666,13422
9669,39174
9679,1529
9683,38217
9689,18936
9696,47477
9697,5532
9698,2062
9701,47709
9706,15656
9708,12240
9712,29547
9720,6104
9721,5044
9726,7123
9731,10636
9744,9806
9753,1970
9757,19536
9760,5772
9780,10905
9782,181
9786,6162
9788,406
9789,9093
9791,603
9792,2801
9798,4815
9805,1027
9806,13536
9810,3626
9812,7793
9814,1560
9822,1175
9831,766
9838,1481
9840,41100
9852,2414
9859,308
9916,1084
9924,42659
9944,2235
9953,10566
9961,7236
9968,40214
9970,456
9972,6480
9975,64070
9976,4160
9984,321
9989,1007
9991,8469
10005,3783
10010,5037
10013,1315
10025,48745
10028,10960
10032,322
10037,2428
10038,21267
10040,535
10042,41931
10048,14586
10052,17218
10054,6197
10059,91370
10074,7269
10078,3592
10086,685
10087,1144
10088,946
10092,46874
10108,4116
10113,4719
10117,1080
10125,37733
10126,7462
10144,3587
10156,10430
10157,3377
10162,107
10164,11024
10166,8737
10175,9272
10177,6886
10185,26411
10187,14642
10190,5970
10202,7861
10203,13576
10209,834
10213,8922
10220,29633
10239,1593
10248,5529
10261,15202
10271,15142
10274,52268
10286,1886
10289,7439
10305,843
10310,329
10315,73101
10316,5043
10319,1747
10323,1277
10326,8750
10343,4387
10349,76741
10352,1138
10356,1837
10357,1652
10379,365
10382,1044
10394,16235
10403,16910
10413,18806
10418,1090
10431,7986
10432,1129
10435,51070
10439,1234
10440,4271
10452,42062
10453,3190
10456,1278
10457,46025
10460,9414
10470,921
10471,3541
10472,74163
10478,18081
10489,4492
10492,12777
10501,32395
10502,11827
10510,3484
10512,1835
10524,581
10529,5995
10530,1201
10532,11649
10537,85843
10542,9758
10543,4557
10544,5731
10547,10075
10552,4122
10557,90
10558,1218
10567,192
10570,54968
10583,16777
10587,1008
10589,11656
10591,25846
10598,436
10600,12469
10604,569
10609,10394
10616,3644
10621,1922
10631,39174
10655,1369
10658,1270
10679,12014
10682,1173
10686,1028
10689,3350
10694,2723
10697,1069
10701,190
10704,31464
10709,872
10714,1804
10729,103
10730,1575
10743,18411
10760,8167
10761,22907
10770,1815
10772,13682
10776,1143
10785,14090
10786,647
10793,19835
10795,772
10811,533
10812,14714
10814,33842
10819,8766
10824,452
10834,14033
10839,27862
10845,39173
10850,48396
10852,1692
10856,16120
10858,3107
10870,11011
10873,1737
10887,787
10889,16534
10902,734
10903,76718
10920,16199
10928,15814
10930,8840
10933,8807
10945,427
10953,36844
10962,3038
10966,14625
10972,123430
10977,124981
10989,8758
11004,291
11005,1198
11006,1193
11011,60462
11013,9803
11015,915
11018,956
11020,1123
11029,44385
11030,24156
11037,568
11044,1395
11049,22824
11051,703
11063,14307
11066,1094
11068,1126
11069,2174
11074,468
11075,17717
11086,32446
11108,26443
11111,373
11113,1759
11137,5529
11138,922
11141,848
11142,11946
11144,8693
11145,7003
11150,75
11156,39639
11162,1510
11163,307
11167,21290
11170,573
11173,1290
11174,30544
11175,4308
11190,1567
11192,6214
11203,329
11208,6299
11215,6886
11218,395
11233,10581
11234,33119
11235,1033
11245,4606
11246,26823
11250,488
11252,7620
11261,1412
11262,15534
11268,1538
11269,1636
11273,449
11275,795
11277,14905
11286,2739
11291,1271
11294,1388
11297,39511
11298,22157
11327,603
11331,40433
11334,3157
11342,1183
11349,16121
11350,32106
11352,13840
11356,617
11358,16715
11383,5470
11386,18358
11387,103584
11393,15433
11394,1605
11395,429
11398,38441
11399,2227
11405,1147
11408,32902
11409,1156
11418,5164
11419,5835
11425,9355
11443,1224
11445,3335
11448,2692
11454,1173
11458,31325
11459,12721
11465,12534
11468,24976
11474,2186
11478,6666
11493,26675
11496,14519
11497,1999
11501,478
11503,1126
11506,21361
11513,8187
11515,4262
11522,1272
11527,3181
11529,11536
11530,7981
11548,16003
11550,15328
11552,12184
11554,1572
11557,858
11558,1003
11560,27384
11561,7810
11569,309
11583,1959
11584,3358
11586,1613
11598,2593
11599,7795
11601,7910
11608,27721
11610,13605
11612,48978
11618,2370
11620,4777
11626,4123
11628,2743
11632,123770
11634,5797
11635,4011
11642,456
11660,8447
11665,2570
11667,7771
11672,19443
11682,39053
11684,5755
11691,15147
11693,1475
11698,621
11702,4241
11707,24063
11709,10589
11713,17869
11718,6012
11719,6120
11729,2152
11732,7345
11737,2988
11738,26763
11749,564
11754,15720
11763,12617
11769,7947
11770,283
11774,34133
11777,10411
11778,6730
11781,1033
11783,51593
11784,8992
11786,40083
11791,430
11793,915
11794,9637
11796,456
11800,1733
11805,27972
11806,329
11810,16177
11811,16263
11813,19508
11816,858
11820,6950
11823,9201
11827,10857
11833,927
11844,610
11847,3074
11855,14278
11859,367
11863,6501
11864,1101
11878,2809
11887,16239
11891,275
11895,38419
11919,1099
11922,1298
11946,1142
11952,14203
11956,977
11957,30013
11960,20917
11963,1058
11965,359
11967,1169
11968,51204
11969,30823
11972,954
11977,79603
11978,4124
11983,2951
11988,5189
12010,892
12012,1452
12015,22450
12016,62426
12018,63806
12026,37394
12029,1346
12041,15702
12043,19415
12044,779
12050,1025
12063,26203
12083,2885
12086,12756
12097,1859
12104,2852
12115,12427
12125,526
12131,14958
12133,12899
12138,26277
12148,7560
12152,1012
12173,1927
12174,11418
12188,1733
12199,39897
12202,14718
12213,833
12214,1472
12219,3037
12228,6788
12233,9161
12247,9958
12259,6077
12261,996
12271,6156
12276,2595
12288,14949
12290,11775
12292,748
12297,10363
12310,27747
12320,18192
12325,55493
12331,7435
12332,19795
12340,767
12342,6445
12347,323
12354,86
12363,14612
12380,31560
12381,4057
12383,775
12384,821
12385,5912
12392,4038
12397,9255
12398,41442
12407,4082
12409,1258
12416,1285
12421,5100
